feature,class_label
"[-3.03901123e+02  5.44930649e+01 -3.24568138e+01  3.20429993e+01
 -3.01489792e+01 -4.95601930e-02 -2.04005890e+01  3.56661654e+00
  2.86935406e+01  6.83912420e+00  1.08730882e-01 -2.81934786e+00
 -1.80852461e+00 -1.31810055e+01 -2.32794547e+00 -2.27656841e+00
  1.06254263e+01  1.56632586e+01  1.59536066e+01  1.68253765e+01
  1.48609245e+00  6.49558640e+00  2.21418405e+00 -3.50639963e+00
 -2.78049159e+00 -6.56470728e+00 -5.84194613e+00 -2.53739381e+00
  9.10869181e-01 -6.89244127e+00 -7.18702650e+00 -4.91956204e-01
  6.23948002e+00  3.22173858e+00 -3.29704285e-01  2.88962436e+00
  4.82952070e+00 -9.91125882e-01 -3.87007284e+00  2.48113275e+00]",0
"[-1.95709351e+02  2.43006668e+01 -9.35303593e+00 -1.41487665e+01
 -1.03155451e+01 -1.18828316e+01 -1.20269918e+01  1.47995281e+01
 -8.83964263e-03  6.10499573e+00 -1.75446123e-01  1.60177723e-01
  4.72165680e+00  4.90457153e+00 -7.30050951e-02  1.20835793e+00
 -6.58318996e+00 -8.21700215e-01 -3.19367433e+00  2.84998226e+00
 -3.09577990e+00  3.41861701e+00 -2.32446527e+00 -3.33205611e-01
 -1.52891839e+00  3.70553994e+00 -7.33780026e-01  1.40160418e+00
 -2.48078942e+00  8.58009636e-01 -3.83322144e+00 -1.95720768e+00
 -4.25974512e+00  5.14799416e-01 -8.28258932e-01 -9.20014977e-01
 -1.72126412e-01 -1.59088087e+00 -1.26027167e+00 -4.82656419e-01]",0
"[-2.11918152e+02  4.44390182e+01 -1.20996075e+01 -1.42078905e+01
 -9.47333241e+00  4.47693205e+00 -6.88463736e+00  1.01513453e+01
  2.15928149e+00  2.22007918e+00 -3.58082676e+00  8.16119835e-02
 -3.04727030e+00  6.58720303e+00  3.70448923e+00  3.67408895e+00
 -1.66372168e+00  1.27039135e+00 -3.19235063e+00  2.51791000e-01
 -2.54175854e+00  1.94215059e+00 -1.42235160e+00  2.79768482e-02
  4.06048894e-01  4.73869705e+00 -3.36832452e+00  2.18028736e+00
 -1.82536364e+00  2.59061933e+00 -5.94193339e-01  1.54742026e+00
  7.35155726e-03 -1.59071493e+00 -1.35481811e+00  1.55784264e-01
 -5.16733587e-01 -3.88225108e-01 -7.55041361e-01  2.68695682e-01]",0
"[-3.5124371e+02 -4.5873444e+01 -7.1211823e+01 -3.8292282e+01
 -1.8808138e+01 -2.1056221e+01 -9.8982744e+00 -7.4689245e-01
 -1.9703566e+01 -8.2367170e-01 -6.9876618e+00  3.3258159e+00
 -4.5840364e+00 -1.0133299e+01  2.8927822e+00  8.6674299e+00
  9.0605745e+00  4.2950106e+00  7.2974582e+00  9.0613356e+00
  5.6185002e+00 -1.9468732e+00 -5.9981456e+00 -1.1337074e+00
 -2.4658182e+00 -2.2343099e+00 -8.6434036e-01 -3.3267488e+00
 -3.0291212e+00  1.3243072e+00  4.4114417e-01  6.5351540e-01
  1.8768896e+00  5.7785809e-01  5.4111379e-01  2.0208161e+00
 -1.4046648e+00  7.3836434e-01  3.6260545e+00  1.2312514e-01]",0
"[-1.8454254e+02  3.6266605e+01 -5.6023212e+01 -2.6653257e+01
 -2.4342100e+01 -2.6673324e+00  1.2453978e+01  1.1940357e+01
 -1.0327778e+01  1.0706435e+01 -1.3871743e+01  2.0553823e+00
 -4.5499239e+00 -1.8699123e+01 -7.2632685e+00  2.3083887e+00
 -2.1697078e+00 -5.1971660e+00 -4.7319317e+00 -1.1297638e+00
 -2.1929343e+00 -7.6307452e-01 -3.5924666e+00  3.3226268e+00
  6.6925626e+00  6.3185841e-01  8.8915567e+00  4.8955860e+00
  2.4475220e-01  5.1753020e+00  2.8457494e+00  4.6652098e+00
  2.4279795e+00  7.3438071e-02  6.5283270e+00 -1.5785953e+00
  1.4030755e+00  8.7520301e-01 -3.9448944e-01  2.5703791e-01]",0
"[-1.8437013e+02  1.2457518e+01 -3.2288944e+01 -1.2456843e+01
 -1.4117476e+01  1.5734394e+01  1.6017368e+01  1.4847094e+01
  3.8158045e+00  9.6224433e-01  2.7174311e+00  5.9113746e+00
 -4.7987986e+00 -9.0620356e+00 -5.9903045e+00  2.6863158e+00
  1.3019470e+00 -1.0843987e+00  2.8185701e+00  4.5789995e+00
 -3.9364223e+00 -8.6710167e-01 -1.0633333e+00 -1.5361098e+00
  1.2587744e-01 -8.6712418e+00 -2.0777237e+00 -6.6623110e-01
 -1.7863992e+00  7.3059578e+00 -7.1396947e-01  4.4884363e-01
  2.7058396e-01  2.2711280e-01 -2.4306431e+00  3.5151193e+00
 -3.0554578e+00  3.2000422e+00 -3.1412175e+00 -2.5300455e+00]",0
"[-2.35671005e+02  8.32979355e+01 -2.90203762e+01 -7.10415411e+00
 -1.05084972e+01  1.91514206e+00  1.37063360e+01  2.72587795e+01
  1.09766302e+01 -3.96308112e+00  2.90372825e+00 -2.40048552e+00
 -6.16879177e+00 -1.21367872e+00 -1.16582279e+01  1.51841819e+00
 -7.75524020e-01 -1.48864463e-01 -5.05625963e-01  6.81961250e+00
 -3.97465062e+00 -1.36570263e+00 -1.73104465e-01  1.05348625e+01
  1.55579770e+00 -5.45595026e+00  1.39027405e+00 -5.87828493e+00
  1.28512636e-01 -6.00268984e+00 -2.51963401e+00 -5.68506861e+00
  9.83249903e-01  9.45850074e-01  3.90319204e+00  2.70350838e+00
  2.72257519e+00  9.20719862e-01  1.32018197e-02  1.21238577e+00]",0
"[-3.2696854e+02  6.4119720e+00 -4.6059395e+01  1.0378829e+01
 -1.8803379e+01 -4.7025027e+00 -3.6372948e+01 -8.4381752e+00
 -2.2939510e+00 -9.5289421e+00 -8.9553366e+00  3.5900033e-01
  6.3084593e+00  1.3217778e+01  9.2296247e+00  5.5623317e+00
  4.8397925e-02 -1.2720909e+01 -3.8699539e+00 -7.8255610e+00
 -2.2668445e+00  2.0200748e+00 -8.2967672e+00 -5.2307854e+00
 -2.4000134e+00 -1.9383229e-01 -1.6068060e+00  7.7909964e-01
  6.0579948e+00  3.7167075e+00  5.3450763e-01  9.5124537e-01
 -3.0903101e+00 -4.2631931e+00 -4.7669988e+00 -6.0900869e+00
 -1.1412139e+00 -1.6077461e+00 -2.7678695e+00 -4.2885879e-01]",0
"[-1.7160468e+02  4.9819965e+01 -7.3350029e+01 -1.1500793e+01
 -4.5779301e+01 -8.7256613e+00 -3.3419586e+01 -1.5876781e+01
  2.5257706e+01 -2.0361555e+01 -1.4743178e+01 -8.1042185e+00
 -4.8765130e+00 -5.2433240e-01  6.5907559e+00  8.3374834e+00
  2.8765943e+00 -1.0779498e+01  4.7725582e+00 -1.0197998e+01
 -8.8018446e+00  3.6046338e-01 -1.1221941e+01 -9.7565985e-01
 -1.7208052e+00 -2.4523854e+00  3.7649319e+00  4.4899387e+00
  1.7684225e+00 -3.8071528e-02  4.7621088e+00 -4.3487525e+00
  1.3496592e+00 -6.6218156e-01  2.2929916e+00 -2.1540849e+00
 -2.9212370e+00 -2.1048853e+00 -3.1868167e+00  1.0753360e+00]",0
"[-294.21088     33.772697   -42.2341      16.197786   -27.114012
  -12.792254   -31.669579    -9.00801     -4.4911404  -19.41014
  -12.610753     2.3942602   -2.34482      3.5051744   10.808046
   16.008924     5.274002   -10.128943    -6.141678    -8.980864
   -2.0157003   -2.9272494   -8.873433   -14.242206    -5.654288
    0.950725     4.135798     3.150125     3.8855314    7.902188
    3.6839833   -5.6754723   -2.7445617   -2.177768    -1.9580516
   -4.971581    -2.5774515   -3.322893    -5.092262    -2.3988497]",0
